number	aSeq	aType	ai	aj	bSeq	bType	bi	bj	aPeak	bPeak
1	SC35M_HA	wt	100	175	SC35M_M	wt	50	125	141	86
2	SC35M_HA	wt	100	150	SC35M_M	wt	775	825	133	796
3	SC35M_HA	8xmut	375	425	SC35M_M	8xmut	50	100	406	71
4	SC35M_HA	wt	425	500	SC35M_M	wt	100	175	475	142
5	SC35M_HA	wt	400	475	SC35M_M	wt	350	425	447	385
6	SC35M_HA	wt	375	450	SC35M_M	wt	500	575	418	536
7	SC35M_HA	wt	450	525	SC35M_M	wt	500	575	504	530
8	SC35M_HA	wt	425	475	SC35M_M	wt	650	700	460	681
9	SC35M_HA	wt	575	625	SC35M_M	wt	400	500	601	436
10	SC35M_HA	wt	725	800	SC35M_M	wt	325	400	764	367
11	SC35M_HA	wt	725	800	SC35M_M	wt	775	850	768	817
12	SC35M_HA	wt	875	950	SC35M_M	wt	125	200	925	160
13	SC35M_HA	wt	950	1025	SC35M_M	wt	325	400	999	365
14	SC35M_HA	wt	900	950	SC35M_M	wt	440	490	916	464
15	SC35M_HA	wt	950	1000	SC35M_M	wt	600	675	987	633
16	SC35M_HA	wt	900	950	SC35M_M	wt	925	975	927	952
17	SC35M_HA	wt	1025	1100	SC35M_M	wt	50	112	1058	78
18	SC35M_HA	wt	1075	1150	SC35M_M	wt	500	575	1108	536
19	SC35M_HA	wt	1150	1200	SC35M_M	wt	400	475	1170	430
20	SC35M_HA	wt	1125	1200	SC35M_M	wt	625	700	1168	660
21	SC35M_HA	wt	1125	1225	SC35M_M	wt	750	825	1176	790
22	SC35M_HA	wt	1250	1325	SC35M_M	wt	125	225	1287	174
23	SC35M_HA	wt	1250	1325	SC35M_M	wt	500	575	1289	530
24	SC35M_HA	wt	1425	1500	SC35M_M	wt	125	200	1469	158
25	SC35M_HA	wt	1425	1525	SC35M_M	wt	475	575	1458	530
26	SC35M_HA	wt	1400	1475	SC35M_M	wt	825	900	1446	853
27	SC35M_HA	wt	1625	1675	SC35M_M	wt	150	225	1662	177
28	SC35M_HA	wt	1625	1675	SC35M_M	wt	500	575	1655	537
29	SC35M_HA	wt	1625	1675	SC35M_M	wt	600	675	1649	629
30	SC35M_HA	wt	425	475	SC35M_M	wt	775	850	459	800
31	SC35M_HA	wt	500	550	SC35M_M	wt	900	950	532	928
32	SC35M_HA	wt	225	275	SC35M_M	wt	125	175	252	143
33	SC35M_HA	wt	260	310	SC35M_M	wt	310	360	289	331
34	SC35M_HA	wt	100	150	SC35M_M	wt	200	237	128	219
35	SC35M_HA	wt	100	150	SC35M_M	wt	237	300	122	258
36	SC35M_HA	wt	50	150	SC35M_M	wt	375	437	106	411
37	SC35M_HA	wt	50	150	SC35M_M	wt	450	500	106	450
38	SC35M_HA	wt	25	75	SC35M_M	wt	600	650	52	649
39	SC35M_HA	wt	25	75	SC35M_M	wt	650	700	52	668
40	SC35M_HA	wt	1025	1100	SC35M_M	wt	150	160	1058	150
41	SC35M_HA	4xmut	500	550	SC35M_M	4xmut	100	175	527	136
42	SC35M_HA	4xmut	350	412	SC35M_M	4xmut	425	500	386	462
43	SC35M_HA	4xmut	500	550	SC35M_M	4xmut	575	650	529	621
44	SC35M_HA	4xmut	325	375	SC35M_M	4xmut	775	850	343	807
45	SC35M_HA	4xmut	500	550	SC35M_M	4xmut	775	850	534	798
46	SC35M_HA	4xmut	1325	1375	SC35M_M	4xmut	450	500	1346	480
47	SC35M_HA	4xmut	1400	1475	SC35M_M	4xmut	775	825	1446	815
48	SC35M_HA	8xmut	225	300	SC35M_M	8xmut	425	500	262	465
49	SC35M_HA	8xmut	850	950	SC35M_M	8xmut	37	112	909	78
50	SC35M_HA	8xmut	1600	1675	SC35M_M	8xmut	375	487	1641	450
51	SC35M_HA	MmtoHA51	50	100	SC35M_M	MmtoHA51	150	225	80	187
52	SC35M_HA	MmtoHA51	825	875	SC35M_M	MmtoHA51	150	225	855	186
53	SC35M_HA	wt	75	150	SC35M_NA	wt	25	100	141	78
54	SC35M_HA	wt	25	100	SC35M_NA	wt	150	225	58	177
55	SC35M_HA	wt	100	150	SC35M_NA	wt	475	575	133	519
56	SC35M_HA	wt	225	300	SC35M_NA	wt	475	550	289	501
57	SC35M_HA	wt	100	200	SC35M_NA	wt	625	675	156	644
58	SC35M_HA	wt	50	125	SC35M_NA	wt	750	800	91	767
59	SC35M_HA	wt	25	125	SC35M_NA	wt	800	875	63	842
60	SC35M_HA	wt	100	150	SC35M_NA	wt	1050	1125	138	1079
61	SC35M_HA	wt	150	225	SC35M_NA	wt	1050	1125	180	1081
62	SC35M_HA	wt	225	275	SC35M_NA	wt	1050	1125	252	1080
63	SC35M_HA	wt	300	375	SC35M_NA	wt	1050	1125	337	1090
